sentence_id,product_name,price,rating,review,cleaned_review,aspect_sentiment_anotation,review_type,category
59,Girls Fashion New Traveling Bag Cute Office Casual Women Handbags,"Rs. 2,000",1,ඕඩර් කරපු බෑග් එක නෙමෙයි එවලා තියෙන්නෙ. දම්පාට බෑග් එකක් ඕඩර් කලේ. එවලා තියෙන්නෙ වෙනමම පාටක්. කිසිම කොලිටි එකක් නැතුව එවලා තියෙන්නෙ. ගන්න එපා. අපරාදෙ සල්ලි. කිසිම කොලිටි එකක් නෑ. ශිපර් එකත් කිසිම වැඩකට නෑ. ස්ට්‍රැප් එකත් ඒ වගේ. ෆ්‍රී චූටි හෙයාර් ක්ලිප් එකක් එවලා තියෙනවා. අපරාදෙ ඒක එවන වෙලාවෙ මිනිස්සු රවට්ටන්නෙ නැතුව හරියට ඕඩර් කරපු බෑග් එක එවන්න තිබ්බෙ.,ඕඩර් කරපු බෑග් එක නෙමෙයි එවලා තියෙන්නෙ. දම්පාට බෑග් එකක් ඕඩර් කලේ. එවලා තියෙන්නෙ වෙනමම පාටක්. කිසිම කොලිටි එකක් නැතුව එවලා තියෙන්නෙ. ගන්න එපා. අපරාදෙ සල්ලි. කිසිම කොලිටි එකක් නෑ. ශිපර් එකත් කිසිම වැඩකට නෑ. ස්ට්‍රැප් එකත් ඒ වගේ. ෆ්‍රී චූටි හෙයාර් ක්ලිප් එකක් එවලා තියෙනවා. අපරාදෙ ඒක එවන වෙලාවෙ මිනිස්සු රවට්ටන්නෙ නැතුව හරියට ඕඩර් කරපු බෑග් එක එවන්න තිබ්බෙ.,"{
(NULL, 'Material Accuracy', 'ඕඩර් කරපු බෑග් එක නෙමෙයි එවලා තියෙන්නෙ', negative),
('පාටක්', 'Color Accuracy', 'වෙනමම පාටක්', negative),
(NULL, 'Material Quality', 'කිසිම කොලිටි එකක් නැතුව', negative),
(NULL, 'Overall Satisfaction', 'ගන්න එපා', negative),
('සල්ලි', 'Price / Value for Money', 'අපරාදෙ', negative),
('ශිපර් එකත්', 'Closure Type & Quality', 'කිසිම වැඩකට නෑ', negative),
('ස්ට්‍රැප් එකත්', 'Hardware Quality', 'ඒ වගේ', negative)
}",Pure_Sinhala,fashion
60,Girls Fashion New Traveling Bag Cute Office Casual Women Handbags,"Rs. 2,000",5,ඒකනම් සෙට් නෑ ගන්න එපා 🥲🥲 අපරාදේ ගෙන්න ගත්තේ හැබැයි ඉඩ තීනවා ඒත් ඒක හරි නෑ quality na,ඒකනම් සෙට් නෑ ගන්න එපා 🥲🥲 අපරාදේ ගෙන්න ගත්තේ හැබැයි ඉඩ තීනවා ඒත් ඒක හරි නෑ quality na,"{
(NULL, 'Overall Satisfaction', 'සෙට් නෑ ගන්න එපා', negative),
(NULL, 'Overall Satisfaction', 'අපරාදේ ගෙන්න ගත්තේ', negative),
('ඉඩ', 'Fit', 'තීනවා', positive),
(NULL, 'Material Quality', 'quality na', negative)
}",Pure_Sinhala,fashion
61,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",5,ගානට වටිනවා. කොලිටියත් හොඳයි. පැකින් එකත් ලස්සනයි වගේම ඩිලිවරි එකත් සුපිරි. #win,ගානට වටිනවා. කොලිටියත් හොඳයි. පැකින් එකත් ලස්සනයි වගේම ඩිලිවරි එකත් සුපිරි.,"{
('ගානට', 'Price / Value for Money', 'වටිනවා', positive),
(NULL, 'Material Quality', 'කොලිටියත් හොඳයි', positive),
('පැකින් එකත්', 'Delivery', 'ලස්සනයි', positive),
('ඩිලිවරි එකත්', 'Delivery', 'සුපිරි', positive)
}",Sinhala_in_English,fashion
62,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",5,"ඒක ගොඩක් පොඩියි හිතුවට වඩා පොඩියි, හැබැයි වැඩකට ඇති දෙයක්.","ඒක ගොඩක් පොඩියි හිතුවට වඩා පොඩියි, හැබැයි වැඩකට ඇති දෙයක්.","{
(NULL, 'Size Accuracy', 'ගොඩක් පොඩියි', negative),
(NULL, 'Size Accuracy', 'හිතුවට වඩා පොඩියි', negative),
(NULL, 'Ease of Use', 'වැඩකට ඇති දෙයක්', positive)
}",Sinhala_in_English,fashion
63,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,මේ product එක නම් ගන්න එපා.කිසිම quality එකක් නෑ.,මේ product එක නම් ගන්න එපා.කිසිම quality එකක් නෑ.,"{
(NULL, 'Overall Satisfaction', 'ගන්න එපා', negative),
(NULL, 'Material Quality', 'කිසිම quality එකක් නෑ', negative)
}",Pure_Sinhala,fashion
64,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",4,බෑග් එක ගොඩක් පොඩියි.. හැබැයි ඒක ලස්සනයි.,බෑග් එක ගොඩක් පොඩියි.. හැබැයි ඒක ලස්සනයි.,"{
('බෑග් එක', 'Size Accuracy', 'ගොඩක් පොඩියි', negative),
(NULL, 'Appearance', 'ලස්සනයි', positive)
}",Sinhala_in_English,fashion
65,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",5,හිතුවට වඩා කුඩා bag එකක්.,හිතුවට වඩා කුඩා bag එකක්.,"{
(NULL, 'Size Accuracy', 'හිතුවට වඩා කුඩා', negative)
}",Pure_Sinhala,fashion
66,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",4,මේක චූටි වැඩී,මේක චූටි වැඩී,"{
(NULL, 'Size Accuracy', 'චූටි වැඩී', negative)
}",Pure_Sinhala,fashion
67,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,හිතපු තරම් හොද නෑ ෆෝන් එකවත් දාන්න බෑ ඒත් ලස්සනයි,හිතපු තරම් හොද නෑ ෆෝන් එකවත් දාන්න බෑ ඒත් ලස්සනයි,"{
(NULL, 'Overall Satisfaction', 'හිතපු තරම් හොද නෑ', negative),
('ෆෝන් එකවත්', 'Fit', 'දාන්න බෑ', negative),
(NULL, 'Appearance', 'ලස්සනයි', positive)
}",Pure_Sinhala,fashion
68,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",5,me godak hodai lassanai 🥰,මේ ගොඩක් හොදි ලස්සනෛ 🥰,"{
(NULL, 'Overall Satisfaction', 'ගොඩක් හොදි', positive),
(NULL, 'Appearance', 'ලස්සනෛ', positive)
}",Sinhala_in_English,fashion
69,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,පර්ස් එක නිකම් පැන්සල් කේස් එකක් වගේ හරි පොඩියි. not as shown🙁🙁🙁,පර්ස් එක නිකම් පැන්සල් කේස් එකක් වගේ හරි පොඩියි. not as shown🙁🙁🙁,"{
(NULL, 'Size Accuracy', 'හරි පොඩියි', negative),
(NULL, 'Product-Image Consistency', 'not as shown', negative)
}",Pure_Sinhala,fashion
70,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,හිතුවට වඩා ගොඩක් පොඩියි.phone එක දාන්න ඉඩ මදි..පොඩ්ඩක් තව ලොකු උනානම් හොදයි..,හිතුවට වඩා ගොඩක් පොඩියි.phone එක දාන්න ඉඩ මදි..පොඩ්ඩක් තව ලොකු උනානම් හොදයි..,"{
(NULL, 'Size Accuracy', 'හිතුවට වඩා ගොඩක් පොඩියි', negative),
('phone එක දාන්න ඉඩ', 'Fit', 'මදි', negative)
}",Pure_Sinhala,fashion
71,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",2,mama hithuwa wage lokuna meka mobile eke saiisekak wadak naha,මම හිතුව වගේ ලොකුන මේක මොබිලේ එකේ සෛඉසෙකක් වැඩක් නැහැ,"{
(NULL, 'Size Accuracy', 'මම හිතුව වගේ ලොකුන', negative),
(NULL, 'Overall Satisfaction', 'වැඩක් නැහැ', negative)
}",Sinhala_in_English,fashion
72,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,මෙලෝ වැඩක් නෑ මේක පොඩි එකෙක්ට හොදයි..මේක ගන්න එප,මෙලෝ වැඩක් නෑ මේක පොඩි එකෙක්ට හොදයි..මේක ගන්න එප,"{
(NULL, 'Overall Satisfaction', 'මෙලෝ වැඩක් නෑ', negative),
(NULL, 'Size Accuracy', 'පොඩි එකෙක්ට හොදයි', negative),
(NULL, 'Overall Satisfaction', 'ගන්න එප', negative)
}",Pure_Sinhala,fashion
73,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,"වැඩක් නෑ සෙල්ලං බඩු වගේ never order from overseas ,👎😪 this is my 3rd order never again","වැඩක් නෑ සෙල්ලං බඩු වගේ never order from overseas ,👎😪 this is my 3rd order never again","{
(NULL, 'Overall Satisfaction', 'වැඩක් නෑ', negative),
(NULL, 'Appearance', 'සෙල්ලං බඩු වගේ', negative)
}",Pure_Sinhala,fashion
74,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,කිසිම වැඩක් නෑ phone එකවත් දාන්න බෑ,කිසිම වැඩක් නෑ phone එකවත් දාන්න බෑ,"{
(NULL, 'Overall Satisfaction', 'කිසිම වැඩක් නෑ', negative),
('phone එකවත්', 'Fit', 'දාන්න බෑ', negative)
}",Pure_Sinhala,fashion
75,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,හරිම පොඩියි...ගනනට වටින්නෙම නෑ....,හරිම පොඩියි...ගනනට වටින්නෙම නෑ....,"{
(NULL, 'Size Accuracy', 'හරිම පොඩියි', negative),
('ගනනට', 'Price / Value for Money', 'වටින්නෙම නෑ', negative)
}",Pure_Sinhala,fashion
76,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,podi wadi hithuwata wada\n\n,පොඩි වැඩි හිතුවට වැඩ\න\න,"{
(NULL, 'Size Accuracy', 'පොඩි වැඩි', negative)
}",Sinhala_in_English,fashion
77,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",1,වැඩක්ම. නැහැ,වැඩක්ම. නැහැ,"{
(NULL, 'Overall Satisfaction', 'වැඩක්ම. නැහැ', negative)
}",Pure_Sinhala,fashion
78,Mini Pu Fashion Women Shoulder Bag Messenger Bag Designer Luxury Crocodile Pattern Phone Coin Purse Girls Handbag Tote Bag,"Rs. 3,426",2,ගොඩක්ම පොඩියි.,ගොඩක්ම පොඩියි.,"{
(NULL, 'Size Accuracy', 'ගොඩක්ම පොඩියි', negative)
}",Sinhala_in_English,fashion
79,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,eka harima cute harima lassanai  🎀❤ gift ekath ekka podi lassana konda katuwakuth ewala tibba  😘🎀thank you so much ❤,එක හරිම චුටේ හරිම ලස්සනෛ  🎀❤ ගිෆ්ට් එකත් එක්ක පොඩි ලස්සන කොන්ද කටුවකුත් එවල තිබ්බ  😘🎀තැනක් යෞ සෝ මුච් ❤,"{
(NULL, 'Size Accuracy', 'හරිම චුටේ', negative),
(NULL, 'Appearance', 'හරිම ලස්සනෛ', positive)
}",Sinhala_in_English,fashion
80,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,"niyamai, reddath hondai , hithuvtath vada hondai dear thanks❤️❤️#WIN",නියමි,"{
(NULL, 'Overall Satisfaction', 'නියමි', positive)
}",Sinhala_in_English,fashion
81,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,Hoda bag ekak.. Lassnyi.. Print ekath hoda yi,හොද බග් එකක්.. ලස්සනයි.. ප්‍රින්ට් එකත් හොද යි,"{
(NULL, 'Overall Satisfaction', 'හොද බග් එකක්', positive),
(NULL, 'Appearance', 'ලස්සනයි', positive),
('ප්‍රින්ට් එකත්', 'Design Aesthetic', 'හොද යි', positive)
}",Sinhala_in_English,fashion
82,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,හිතුවට වඩා ගොඩක් ලස්සනයි....😍Best,හිතුවට වඩා ගොඩක් ලස්සනයි....😍Best,"{
(NULL, 'Appearance', 'හිතුවට වඩා ගොඩක් ලස්සනයි', positive),
(NULL, 'Overall Satisfaction', 'Best', positive)
}",Pure_Sinhala,fashion
83,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,හොද නිෂ්පාදනයක්.මං හිතුවට වඩා හොදට තියනවා.බෑග් එක ලස්සනයි.ස්තූතියි ඩරස්,හොද නිෂ්පාදනයක්.මං හිතුවට වඩා හොදට තියනවා.බෑග් එක ලස්සනයි.ස්තූතියි ඩරස්,"{
(NULL, 'Overall Satisfaction', 'හොද නිෂ්පාදනයක්', positive),
(NULL, 'Overall Satisfaction', 'හිතුවට වඩා හොදට තියනවා', positive),
(NULL, 'Appearance', 'බෑග් එක ලස්සනයි', positive)
}",Pure_Sinhala,fashion
84,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",4,"Hodai lokuwata thiyenawa bag eka athule,material ekath hodai🥰",හොදි ලොකුවට තියෙනවා බග් එක ඇතුලේ,"{
(NULL, 'Overall Satisfaction', 'හොදි', positive),
('ඇතුලේ', 'Fit', 'ලොකුවට තියෙනවා', positive)
}",Sinhala_in_English,fashion
85,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,thanks darz💜️💜️,තැන්ක්ස් දර්ළ💜️💜️,"{
(NULL, 'Overall Satisfaction', 'තැන්ක්ස්', positive)
}",Sinhala_in_English,fashion
86,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,හිතුව වගෙ ලස්සනට තිබුනා..ස්තුතිස්තුතියි,හිතුව වගෙ ලස්සනට තිබුනා..ස්තුතිස්තුතියි,"{
(NULL, 'Appearance', 'හිතුව වගෙ ලස්සනට තිබුනා', positive)
}",Pure_Sinhala,fashion
87,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,ගොඩක් ලස්සනයි material එකත් හොඳයි,ගොඩක් ලස්සනයි material එකත් හොඳයි,"{
(NULL, 'Appearance', 'ගොඩක් ලස්සනයි', positive),
('material එකත්', 'Material Quality', 'හොඳයි', positive)
}",Pure_Sinhala,fashion
88,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,tnx ikmnta hmba una,ත්න්ෂ ඉක්මනට හම්බ උන,"{
(NULL, 'Delivery', 'ඉක්මනට හම්බ උන', positive)
}",Sinhala_in_English,fashion
89,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,වටිනව මේක,වටිනව මේක,"{
(NULL, 'Price / Value for Money', 'වටිනව', positive)
}",Pure_Sinhala,fashion
90,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,bkij,බ්කිජ්,"{
(NULL, 'Overall Satisfaction', 'බ්කිජ්', positive)
}",Sinhala_in_English,fashion
91,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",5,soo nice♥️,සූ නිචේ♥️,"{
(NULL, 'Appearance', 'සූ නිචේ', positive)
}",Sinhala_in_English,fashion
92,"Free Hair Clip Gift Girls' Fashion Tote Bag, Women's Canvas Handbag, Casual Shoulder Bag Large Capacity Shopping Bag, Trendy Ladies' Purse, Everyday Carryall, Stylish Women's Bag, Durable Fabric Tote, College Bag for Girls, Work Handbag,","Rs. 2,290",1,Dunnu ganata sadaranai😊,දුන්නු ගානට සදරනෛ😊,"{
('දුන්නු ගානට', 'Price / Value for Money', 'සදරනෛ', positive)
}",Sinhala_in_English,fashion
93,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",1,opan,ඕපන්,"{
(NULL, 'Overall Satisfaction', 'ඕපන්', neutral)
}",Sinhala_in_English,fashion
94,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",5,මේක හොඳ ප්‍රොඩක්ට් එකක්. හිතුවට වඩා ගොඩක් කොලිටි.. මම මේකට ආසයි.,මේක හොඳ ප්‍රොඩක්ට් එකක්. හිතුවට වඩා ගොඩක් කොලිටි.. මම මේකට ආසයි.,"{
('ප්‍රොඩක්ට් එකක්', 'Product Quality', 'හොඳ', positive),
(NULL, 'Material Quality', 'හිතුවට වඩා ගොඩක් කොලිටි', positive),
(NULL, 'Overall Satisfaction', 'මම මේකට ආසයි', positive)
}",Pure_Sinhala,fashion
95,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",5,හොඳ ප්‍රොඩක්ට් එකක්. ඩිලිවරි එකත් වේගවත්. තැන්ක් යූ දරාස්...,හොඳ ප්‍රොඩක්ට් එකක්. ඩිලිවරි එකත් වේගවත්. තැන්ක් යූ දරාස්...,"{
('ප්‍රොඩක්ට් එකක්', 'Product Quality', 'හොඳ', positive),
('ඩිලිවරි එකත්', 'Delivery', 'වේගවත්', positive),
(NULL, 'Overall Satisfaction', 'තැන්ක් යූ දරාස්', positive)
}",Pure_Sinhala,fashion
96,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",5,හිතුවට වඩා ගොඩක් ලස්සනයි ❤️❤️❤️,හිතුවට වඩා ගොඩක් ලස්සනයි ❤️❤️❤️,"{
(NULL, 'Appearance', 'හිතුවට වඩා ගොඩක් ලස්සනයි', positive)
}",Pure_Sinhala,fashion
97,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",5,ඇත්තටම නයිස්... තැන්ක් යූ දරාස්,ඇත්තටම නයිස්... තැන්ක් යූ දරාස්,"{
(NULL, 'Appearance', 'ඇත්තටම නයිස්', positive),
(NULL, 'Overall Satisfaction', 'තැන්ක් යූ දරාස්', positive)
}",Sinhala_in_English,fashion
98,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",5,ඇත්තටම හරිම ලස්සනයි.. තෑන්ක් යූ😍😍❤❤,ඇත්තටම හරිම ලස්සනයි.. තෑන්ක් යූ😍😍❤❤,"{
(NULL, 'Appearance', 'හරිම ලස්සනයි', positive),
(NULL, 'Overall Satisfaction', 'තෑන්ක් යූ', positive)
}",Pure_Sinhala,fashion
99,Women's Crossbody Shoulder Bag Student Shoulder Bag Canvas Bag ins hip hop Girl Canvas Bag Women Messenger Bag,"Rs. 2,942",4,සුපිරි.. තැන්ක්ස්,සුපිරි.. තැන්ක්ස්,"{
(NULL, 'Overall Satisfaction', 'සුපෙර්බ්', positive)
}",Pure_Sinhala,fashion
100,Cute Ladies Hand Bags - Fashionable Shoulder Bags - Hand Bag for Girl - Hand Bag for Women - Woman Handbags,"Rs. 2,690",5,හරිම cute අනේ බෑග් ඒක.. i love it...,හරිම cute අනේ බෑග් ඒක.. i love it...,"{
(NULL, 'Appearance', 'හරිම cute', positive),
(NULL, 'Overall Satisfaction', 'i love it', positive)
}",Pure_Sinhala,fashion
101,Cute Ladies Hand Bags - Fashionable Shoulder Bags - Hand Bag for Girl - Hand Bag for Women - Woman Handbags,"Rs. 2,690",5,"වාව් ලස්සන බෑග් එකක්, මම මේකට ආසයි 😍 කිසිම ඩැමේජ් එකක් නැහැ 😊 දෙවි පිහිටයි","වාව් ලස්සන බෑග් එකක්, මම මේකට ආසයි 😍 කිසිම ඩැමේජ් එකක් නැහැ 😊 දෙවි පිහිටයි","{
('බෑග් එකක්', 'Appearance', 'ලස්සන', positive),
(NULL, 'Overall Satisfaction', 'මම මේකට ආසයි', positive),
(NULL, 'Product Quality', 'කිසිම ඩැමේජ් එකක් නැහැ', positive)
}",Pure_Sinhala,fashion
102,Cute Ladies Hand Bags - Fashionable Shoulder Bags - Hand Bag for Girl - Hand Bag for Women - Woman Handbags,"Rs. 2,690",1,Me bag 1 hari na...pati 2 th kotai...,මේ බග් 1 හරි න...පටි 2 ත් කොටි...,"{
(NULL, 'Overall Satisfaction', 'හරි න', negative),
('පටි 2 ත්', 'Hardware Quality', 'කොටි', negative)
}",Sinhala_in_English,fashion
103,Free Water Bottle with AquaTrend Shoulder Bag Women's Shoulder Bags Fashion Girls Handbag Casual Formal Women's Shoulder Bags Fashion Girls Handbag Casual Formal Large Bag Zipper Big Compartment,"Rs. 4,500",5,wooow,වූඔව්,"{
(NULL, 'Overall Satisfaction', 'වූඔව්', positive)
}",Sinhala_in_English,fashion
104,Free Water Bottle with AquaTrend Shoulder Bag Women's Shoulder Bags Fashion Girls Handbag Casual Formal Women's Shoulder Bags Fashion Girls Handbag Casual Formal Large Bag Zipper Big Compartment,"Rs. 4,500",1,"ගන්න එපා, ගැලපෙන නූල් වලින් වත් මහලා නෑ,","ගන්න එපා, ගැලපෙන නූල් වලින් වත් මහලා නෑ,","{
(NULL, 'Overall Satisfaction', 'ගන්න එපා', negative),
('නූල් වලින්', 'Stitching & Seams Quality', 'මහලා නෑ', negative)
}",Pure_Sinhala,fashion
105,Cute Ladies Hand Bags with Twisted Strips - Fashionable Shoulder Bags - Hand Bag for Girl - Hand Bag for Women - Woman Handbags,"Rs. 2,850",5,color wenas,චොලෝර් වෙනස්,"{
('චොලෝර්', 'Color Accuracy', 'වෙනස්', negative)
}",Sinhala_in_English,fashion
106,Girls Corduroy Messenger Bag Canvas Small Bag Japanese Harajuku Student Shoulder Bag Travel Handbag,"Rs. 3,386",5,බොහොම ස්තූතියි. මම මේ බෑග් එකට කැමතියි.❤ හොඳ ප්‍රොඩක්ට් එකක්.❤😍,බොහොම ස්තූතියි. මම මේ බෑග් එකට කැමතියි.❤ හොඳ ප්‍රොඩක්ට් එකක්.❤😍,"{
(NULL, 'Overall Satisfaction', 'බොහොම ස්තූතියි', positive),
(NULL, 'Overall Satisfaction', 'කැමතියි', positive),
(NULL, 'Product Quality', 'හොඳ', positive)
}",Sinhala_in_English,fashion
107,Girls Corduroy Messenger Bag Canvas Small Bag Japanese Harajuku Student Shoulder Bag Travel Handbag,"Rs. 3,386",5,harim lassani .harim hurubuti chuti bag ekak,හරිම ලස්සනි .හරිම හුරුබුටි චුටි බග් එකක්,"{
(NULL, 'Appearance', 'හරිම ලස්සනි', positive),
(NULL, 'Appearance', 'හුරුබුටි', positive),
(NULL, 'Size Accuracy', 'චුටි', negative)
}",Sinhala_in_English,fashion
108,Girls Corduroy Messenger Bag Canvas Small Bag Japanese Harajuku Student Shoulder Bag Travel Handbag,"Rs. 3,386",5,harima lassanai 👍♥,හරිම ලස්සනෛ 👍♥,"{
(NULL, 'Appearance', 'හරිම ලස්සනෛ', positive)
}",Sinhala_in_English,fashion
109,Girls Corduroy Messenger Bag Canvas Small Bag Japanese Harajuku Student Shoulder Bag Travel Handbag,"Rs. 3,386",1,Hodai eth photo eke widiyata loku nehe godak podi,හොදි එත් ෆොටෝ එකේ විදියට ලොකු නෙහෙ ගොඩක් පොඩි,"{
(NULL, 'Overall Satisfaction', 'හොදි', positive),
(NULL, 'Product-Image Consistency', 'ෆොටෝ එකේ විදියට ලොකු නෙහෙ', negative),
(NULL, 'Size Accuracy', 'ගොඩක් පොඩි', negative)
}",Sinhala_in_English,fashion
110,Girls Corduroy Messenger Bag Canvas Small Bag Japanese Harajuku Student Shoulder Bag Travel Handbag,"Rs. 3,386",1,Godak podine meka hithapu tharam loku na,ගොඩක් පොදිනේ මේක හිතපු තරම් ලොකු න,"{
(NULL, 'Size Accuracy', 'ගොඩක් පොදිනේ', negative),
(NULL, 'Size Accuracy', 'හිතපු තරම් ලොකු න', negative)
}",Sinhala_in_English,fashion
